fid,scientificName,scientificNameAuthorship,taxonConceptID,rank,kingdom,phylum,order,family,genus,species,vernacularName,issues
1,Lagarostrobos franklinii,(Hook.f.) Quinn,https://id.biodiversity.org.au/node/apni/2892878,species,Plantae,Charophyta,Pinales,Podocarpaceae,Lagarostrobos,Lagarostrobos franklinii,Huon Pine,noIssue
2,Athrotaxis cupressoides,D.Don,https://id.biodiversity.org.au/node/apni/2909339,species,Plantae,Charophyta,Pinales,Cupressaceae,Athrotaxis,Athrotaxis cupressoides,Pencil Pine,noIssue
3,Athrotaxis selaginoides,D.Don,https://id.biodiversity.org.au/taxon/apni/51271090,species,Plantae,Charophyta,Pinales,Cupressaceae,Athrotaxis,Athrotaxis selaginoides,King Billy Pine,noIssue
4,Athrotaxis x laxifolia,Hook.,https://id.biodiversity.org.au/node/apni/7555184,species,Plantae,Charophyta,Pinales,Cupressaceae,Athrotaxis,Athrotaxis laxifolia,,noIssue
5,Nothofagus gunnii,(Hook.f.) Oerst.,https://id.biodiversity.org.au/node/apni/7726150,species,Plantae,Charophyta,Fagales,Nothofagaceae,Nothofagus,Nothofagus gunnii,Tanglefoot,noIssue
6,Nothofagus cunninghamii,(Hook.) Oerst.,https://id.biodiversity.org.au/node/apni/7725767,species,Plantae,Charophyta,Fagales,Nothofagaceae,Nothofagus,Nothofagus cunninghamii,Myrtle Beech,noIssue
7,Diselma archeri,Hook.f.,https://id.biodiversity.org.au/node/apni/2898374,species,Plantae,Charophyta,Pinales,Cupressaceae,Diselma,Diselma archeri,Cheshunt Pine,noIssue
8,Eucryphia lucida,(Labill.) Baill.,https://id.biodiversity.org.au/node/apni/2914825,species,Plantae,Charophyta,Oxalidales,Cunoniaceae,Eucryphia,Eucryphia lucida,Leatherwood,noIssue
9,Atherosperma moschatum,Labill.,https://id.biodiversity.org.au/node/apni/2919316,species,Plantae,Charophyta,Laurales,Atherospermataceae,Atherosperma,Atherosperma moschatum,Black Sassafras,noIssue
10,Atherosperma moschatum,Labill.,https://id.biodiversity.org.au/node/apni/2919316,species,Plantae,Charophyta,Laurales,Atherospermataceae,Atherosperma,Atherosperma moschatum,Black Sassafras,noIssue
11,Phyllocladus aspleniifolius,(Labill.) Hook.f.,https://id.biodiversity.org.au/node/apni/2900306,species,Plantae,Charophyta,Pinales,Podocarpaceae,Phyllocladus,Phyllocladus aspleniifolius,Celery-top Pine,noIssue
12,Acacia dealbata,Link,https://id.biodiversity.org.au/taxon/apni/51286863,species,Plantae,Charophyta,Fabales,Fabaceae,Acacia,Acacia dealbata,Silver Wattle,noIssue
13,Acacia melanoxylon,R.Br.,https://id.biodiversity.org.au/node/apni/2903496,species,Plantae,Charophyta,Fabales,Fabaceae,Acacia,Acacia melanoxylon,Blackwood,noIssue
14,Acacia mucronata,Willd. ex H.L.Wendl.,https://id.biodiversity.org.au/taxon/apni/51436614,species,Plantae,Charophyta,Fabales,Fabaceae,Acacia,Acacia mucronata,Narrow-leaf Wattle,noIssue
15,Acacia riceana,Hensl.,https://id.biodiversity.org.au/node/apni/2917026,species,Plantae,Charophyta,Fabales,Fabaceae,Acacia,Acacia riceana,Rices Wattle,noIssue
